pertanyaan,jawaban
"Apa nama festival yang terkenal di Jerman?","Oktoberfest"
"Apa nama tarian tradisional dari Brasil?","Samba"
"Apa nama minuman khas dari Meksiko?","Tequila"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Kanada?","Ottawa"
"Apa nama alat musik tradisional dari Cina?","Erhu"
"Apa nama seni bela diri tradisional dari Korea?","Taekwondo"
"Apa nama festival yang terkenal di Italia?","Festival Film Venesia"
"Apa nama tarian tradisional dari India?","Tarian Bharatanatyam"
"Apa nama minuman khas dari Yunani?","Ouzo"
"Siapa nama penulis novel 'To Kill a Mockingbird'?","Harper Lee"
"Apa nama ibukota dari negara Mesir?","Kairo"
"Apa nama alat musik tradisional dari Jepang?","Shakuhachi"
"Apa nama seni bela diri tradisional dari Jepang?","Judo"
"Apa nama festival yang terkenal di Amerika Serikat?","Coachella"
"Apa nama tarian tradisional dari Jepang?","Kabuki"
"Apa nama minuman khas dari Prancis?","Anggur Merah"
"Siapa nama penulis novel 'Pride and Prejudice'?","Jane Austen"
"Apa nama ibukota dari negara Australia?","Canberra"
"Apa nama alat musik tradisional dari Skotlandia?","Bagpipe"
"Apa nama seni bela diri tradisional dari Korea?","Hapkido"
"Apa nama festival yang terkenal di Cina?","Festival Perahu Naga"
"Apa nama tarian tradisional dari Cina?","Tarian Singa"
"Apa nama minuman khas dari Inggris?","Teh"
"Siapa nama penulis novel 'Bumi Manusia'?","Pramoedya Ananta Toer"
"Apa nama ibukota dari negara Selandia Baru?","Wellington"
"Apa nama alat musik tradisional dari Irlandia?","Bodhrán"
"Apa nama seni bela diri tradisional dari Brasil?","Jiu-jitsu Brasil"
"Apa nama festival yang terkenal di Irlandia?","Hari St. Patrick"
"Apa nama tarian tradisional dari Skotlandia?","Tarian Ceilidh"
"Apa nama minuman khas dari Jepang?","Matcha"
"Siapa nama penulis novel '1984'?","George Orwell"
"Apa nama ibukota dari negara Turki?","Ankara"
"Apa nama alat musik tradisional dari Turki?","Saz"
"Apa nama seni bela diri tradisional dari Rusia?","Sambo"
"Apa nama festival yang terkenal di Spanyol?","Festival San Fermín"
"Apa nama tarian tradisional dari Rusia?","Tarian Cossack"
"Apa nama minuman khas dari Spanyol?","Sangria"
"Siapa nama penulis novel 'The Catcher in the Rye'?","J.D. Salinger"
"Apa nama ibukota dari negara Yunani?","Athena"
"Apa nama alat musik tradisional dari Yunani?","Bouzouki"
"Apa nama seni bela diri tradisional dari Israel?","Krav Maga"
"Apa nama festival yang terkenal di Belanda?","Hari Raja"
"Apa nama tarian tradisional dari Yunani?","Sirtaki"
"Apa nama minuman khas dari Belanda?","Gin"
"Siapa nama penulis novel 'Moby-Dick'?","Herman Melville"
"Apa nama ibukota dari negara Mesir?","Kairo"
"Apa nama alat musik tradisional dari Mesir?","Oud"
"Apa nama seni bela diri tradisional dari India?","Kalaripayattu"
"Apa nama festival yang terkenal di India?","Diwali"
"Apa nama tarian tradisional dari India?","Tarian Bollywood"
"Apa nama minuman khas dari India?","Lassi"
"Siapa nama penulis novel 'Wuthering Heights'?","Emily Brontë"
"Apa nama ibukota dari negara Afrika Selatan?","Pretoria, Cape Town, dan Bloemfontein"
"Apa nama alat musik tradisional dari Afrika Selatan?","Mbira"
"Apa nama seni bela diri tradisional dari Afrika Selatan?","Zulu"
"Apa nama festival yang terkenal di Afrika Selatan?","Hari Kemerdekaan Afrika Selatan"
"Apa nama tarian tradisional dari Afrika Selatan?","Tarian Gumboot"
"Apa nama minuman khas dari Afrika Selatan?","Rooibos Tea"
"Siapa nama penulis novel 'Gone with the Wind'?","Margaret Mitchell"
"Apa nama ibukota dari negara Nigeria?","Abuja"
"Apa nama alat musik tradisional dari Nigeria?","Gbedu"
"Apa nama seni bela diri tradisional dari Nigeria?","Dambe"
"Apa nama festival yang terkenal di Nigeria?","Festival Eyo"
"Apa nama tarian tradisional dari Nigeria?","Tarian Ijo"
"Apa nama minuman khas dari Nigeria?","Zobo"
"Siapa nama penulis novel 'Things Fall Apart'?","Chinua Achebe"
"Apa nama ibukota dari negara Ethiopia?","Addis Ababa"
"Apa nama alat musik tradisional dari Ethiopia?","Krar"
"Apa nama seni bela diri tradisional dari Ethiopia?","Eskrima"
"Apa nama festival yang terkenal di Ethiopia?","Festival Timkat"
"Apa nama tarian tradisional dari Ethiopia?","Tarian Gurage"
"Apa nama minuman khas dari Ethiopia?","Tej"
"Siapa nama penulis novel 'The Kite Runner'?","Khaled Hosseini"
"Apa nama ibukota dari negara Iran?","Teheran"
"Apa nama alat musik tradisional dari Iran?","Santoor"
"Apa nama seni bela diri tradisional dari Iran?","Varzesh-e Bastani"
"Apa nama festival yang terkenal di Iran?","Nowruz"
"Apa nama tarian tradisional dari Iran?","Tarian Iran"
"Apa nama minuman khas dari Iran?","Doogh"
"Siapa nama penulis novel 'Sapiens: A Brief History of Humankind'?","Yuval Noah Harari"
"Apa nama ibukota dari negara Vietnam?","Hanoi"
"Apa nama alat musik tradisional dari Vietnam?","Đàn bầu"
"Apa nama seni bela diri tradisional dari Vietnam?","Vovinam"
"Apa nama festival yang terkenal di Vietnam?","Festival Tết"
"Apa nama tarian tradisional dari Vietnam?","Tarian Bambu"
"Apa nama minuman khas dari Vietnam?","Cà phê sữa đá"
"Siapa nama penulis novel 'The Joy Luck Club'?","Amy Tan"
"Apa nama ibukota dari negara Singapura?","Singapura"
"Apa nama alat musik tradisional dari Singapura?","Suling"
"Apa nama seni bela diri tradisional dari Singapura?","Silat"
"Apa nama festival yang terkenal di Singapura?","Festival Cahaya"
"Apa nama tarian tradisional dari Singapura?","Tarian Peranakan"
"Apa nama minuman khas dari Singapura?","Singapore Sling"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Malaysia?","Kuala Lumpur"
"Apa nama alat musik tradisional dari Malaysia?","Gendang"
"Apa nama seni bela diri tradisional dari Malaysia?","Silat"
"Apa nama festival yang terkenal di Malaysia?","Hari Raya Aidilfitri"
"Apa nama tarian tradisional dari Malaysia?","Tarian Kuda Kepang"
"Apa nama minuman khas dari Malaysia?","Teh Tarik"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Thailand?","Bangkok"
"Apa nama alat musik tradisional dari Thailand?","Ranat"
"Apa nama seni bela diri tradisional dari Thailand?","Muay Thai"
"Apa nama festival yang terkenal di Thailand?","Songkran"
"Apa nama tarian tradisional dari Thailand?","Tarian Khon"
"Apa nama minuman khas dari Thailand?","Es Teh Thailand"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Filipina?","Manila"
"Apa nama alat musik tradisional dari Filipina?","Kulintang"
"Apa nama seni bela diri tradisional dari Filipina?","Arnis"
"Apa nama festival yang terkenal di Filipina?","Ati-Atihan Festival"
"Apa nama tarian tradisional dari Filipina?","Tarian Tinikling"
"Apa nama minuman khas dari Filipina?","Buko Juice"
"Siapa nama penulis novel 'The Chronicles of Narnia'?","C.S. Lewis"
"Apa nama ibukota dari negara Brunei Darussalam?","Bandar Seri Begawan"
"Apa nama alat musik tradisional dari Brunei Darussalam?","Gong"
"Apa nama seni bela diri tradisional dari Brunei Darussalam?","Silat"
"Apa nama festival yang terkenal di Brunei Darussalam?","Hari Raya Aidilfitri"
"Apa nama tarian tradisional dari Brunei Darussalam?","Tarian Adai-adai"
"Apa nama minuman khas dari Brunei Darussalam?","Kopi"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Kamboja?","Phnom Penh"
"Apa nama alat musik tradisional dari Kamboja?","Roneat"
"Apa nama seni bela diri tradisional dari Kamboja?","Bokator"
"Apa nama festival yang terkenal di Kamboja?","Festival Air"
"Apa nama tarian tradisional dari Kamboja?","Tarian Apsara"
"Apa nama minuman khas dari Kamboja?","Es Kopi Kamboja"
"Siapa nama penulis novel 'The Fault in Our Stars'?","John Green"
"Apa nama ibukota dari negara Laos?","Vientiane"
"Apa nama alat musik tradisional dari Laos?","Khene"
"Apa nama seni bela diri tradisional dari Laos?","Muay Lao"
"Apa nama festival yang terkenal di Laos?","Festival Roket"
"Apa nama tarian tradisional dari Laos?","Tarian Lam Vong"
"Apa nama minuman khas dari Laos?","Lao-Lao"
"Siapa nama penulis novel 'The Girl with the Dragon Tattoo'?","Stieg Larsson"
"Apa nama ibukota dari negara Myanmar?","Naypyidaw"
"Apa nama alat musik tradisional dari Myanmar?","Saung Gauk"
"Apa nama seni bela diri tradisional dari Myanmar?","Lethwei"
"Apa nama festival yang terkenal di Myanmar?","Festival Air"
"Apa nama tarian tradisional dari Myanmar?","Tarian Emas"
"Apa nama minuman khas dari Myanmar?","Teh Hijau"
"Siapa nama penulis novel 'The Road'?","Cormac McCarthy"
"Apa nama ibukota dari negara Vietnam?","Hanoi"
"Apa nama alat musik tradisional dari Vietnam?","Đàn nguyệt"
"Apa nama seni bela diri tradisional dari Vietnam?","Vovinam"
"Apa nama festival yang terkenal di Vietnam?","Festival Tết"
"Apa nama tarian tradisional dari Vietnam?","Tarian Topeng"
"Apa nama minuman khas dari Vietnam?","Bia hơi"
"Siapa nama penulis novel 'The Secret Garden'?","Frances Hodgson Burnett"
"Apa nama ibukota dari negara Pakistan?","Islamabad"
"Apa nama alat musik tradisional dari Pakistan?","Tabla"
"Apa nama seni bela diri tradisional dari Pakistan?","Lathi Khela"
"Apa nama festival yang terkenal di Pakistan?","Festival Mela"
"Apa nama tarian tradisional dari Pakistan?","Tarian Bhangra"
"Apa nama minuman khas dari Pakistan?","Teh Jahe"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara India?","New Delhi"
"Apa nama alat musik tradisional dari India?","Sitar"
"Apa nama seni bela diri tradisional dari India?","Kalari"
"Apa nama festival yang terkenal di India?","Holi"
"Apa nama tarian tradisional dari India?","Tarian Bollywood"
"Apa nama minuman khas dari India?","Masala Chai"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Iran?","Teheran"
"Apa nama alat musik tradisional dari Iran?","Santoor"
"Apa nama seni bela diri tradisional dari Iran?","Varzesh-e Pahlavani"
"Apa nama festival yang terkenal di Iran?","Festival Nouruz"
"Apa nama tarian tradisional dari Iran?","Tarian Sufi"
"Apa nama minuman khas dari Iran?","Sharbati"
"Siapa nama penulis novel 'The Old Man and the Sea'?","Ernest Hemingway"
"Apa nama ibukota dari negara Mesir?","Kairo"
"Apa nama alat musik tradisional dari Mesir?","Mizmar"
"Apa nama seni bela diri tradisional dari Mesir?","Tahtib"
"Apa nama festival yang terkenal di Mesir?","Festival Koptik"
"Apa nama tarian tradisional dari Mesir?","Tarian Sufi"
"Apa nama minuman khas dari Mesir?","Karkadeh"
"Siapa nama penulis novel 'The Picture of Dorian Gray'?","Oscar Wilde"
"Apa nama ibukota dari negara Brasil?","Brasilia"
"Apa nama alat musik tradisional dari Brasil?","Berimbau"
"Apa nama seni bela diri tradisional dari Brasil?","Capoeira"
"Apa nama festival yang terkenal di Brasil?","Karnaval Rio"
"Apa nama tarian tradisional dari Brasil?","Samba"
"Apa nama minuman khas dari Brasil?","Caipirinha"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Argentina?","Buenos Aires"
"Apa nama alat musik tradisional dari Argentina?","Bandoneon"
"Apa nama seni bela diri tradisional dari Argentina?","Tango"
"Apa nama festival yang terkenal di Argentina?","Tango Festival"
"Apa nama tarian tradisional dari Argentina?","Tango"
"Apa nama minuman khas dari Argentina?","Mate"
"Siapa nama penulis novel 'The Catcher in the Rye'?","J.D. Salinger"
"Apa nama ibukota dari negara Chili?","Santiago"
"Apa nama alat musik tradisional dari Chili?","Guitarra Chilena"
"Apa nama seni bela diri tradisional dari Chili?","Esgrima"
"Apa nama festival yang terkenal di Chili?","Festival Viña del Mar"
"Apa nama tarian tradisional dari Chili?","Cueca"
"Apa nama minuman khas dari Chili?","Pisco"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Kolombia?","Bogotá"
"Apa nama alat musik tradisional dari Kolombia?","Tiple"
"Apa nama seni bela diri tradisional dari Kolombia?","Teka"
"Apa nama festival yang terkenal di Kolombia?","Festival Bambuco"
"Apa nama tarian tradisional dari Kolombia?","Cumbia"
"Apa nama minuman khas dari Kolombia?","Aguardiente"
"Siapa nama penulis novel 'One Hundred Years of Solitude'?","Gabriel García Márquez"
"Apa nama ibukota dari negara Venezuela?","Caracas"
"Apa nama alat musik tradisional dari Venezuela?","Cuatro"
"Apa nama seni bela diri tradisional dari Venezuela?","Lucha"
"Apa nama festival yang terkenal di Venezuela?","Festival San Juan Bautista"
"Apa nama tarian tradisional dari Venezuela?","Joropo"
"Apa nama minuman khas dari Venezuela?","Arepa"
"Siapa nama penulis novel 'The House of the Spirits'?","Isabel Allende"
"Apa nama ibukota dari negara Peru?","Lima"
"Apa nama alat musik tradisional dari Peru?","Cajón"
"Apa nama seni bela diri tradisional dari Peru?","Taki Onqoy"
"Apa nama festival yang terkenal di Peru?","Inti Raymi"
"Apa nama tarian tradisional dari Peru?","Marinera"
"Apa nama minuman khas dari Peru?","Pisco"
"Siapa nama penulis novel 'The Chronicles of Narnia'?","C.S. Lewis"
"Apa nama ibukota dari negara Ekuador?","Quito"
"Apa nama alat musik tradisional dari Ekuador?","Charango"
"Apa nama seni bela diri tradisional dari Ekuador?","Lucha Libre"
"Apa nama festival yang terkenal di Ekuador?","Festival Inti Raymi"
"Apa nama tarian tradisional dari Ekuador?","San Juanito"
"Apa nama minuman khas dari Ekuador?","Canelazo"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Bolivia?","Sucre dan La Paz"
"Apa nama alat musik tradisional dari Bolivia?","Sikuri"
"Apa nama seni bela diri tradisional dari Bolivia?","Lucha"
"Apa nama festival yang terkenal di Bolivia?","Carnaval de Oruro"
"Apa nama tarian tradisional dari Bolivia?","Morenada"
"Apa nama minuman khas dari Bolivia?","Api"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Uruguay?","Montevideo"
"Apa nama alat musik tradisional dari Uruguay?","Tamboril"
"Apa nama seni bela diri tradisional dari Uruguay?","Karate"
"Apa nama festival yang terkenal di Uruguay?","Carnaval de Montevideo"
"Apa nama tarian tradisional dari Uruguay?","Candombe"
"Apa nama minuman khas dari Uruguay?","Mate"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Paraguay?","Asunción"
"Apa nama alat musik tradisional dari Paraguay?","Harpa Paraguay"
"Apa nama seni bela diri tradisional dari Paraguay?","Karate"
"Apa nama festival yang terkenal di Paraguay?","Festival San Juan"
"Apa nama tarian tradisional dari Paraguay?","Polka Paraguay"
"Apa nama minuman khas dari Paraguay?","Tereré"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Guyana?","Georgetown"
"Apa nama alat musik tradisional dari Guyana?","Steelpan"
"Apa nama seni bela diri tradisional dari Guyana?","Karate"
"Apa nama festival yang terkenal di Guyana?","Mashramani"
"Apa nama tarian tradisional dari Guyana?","Tarian Rakyat Guyana"
"Apa nama minuman khas dari Guyana?","Rum"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Suriname?","Paramaribo"
"Apa nama alat musik tradisional dari Suriname?","Kaseko"
"Apa nama seni bela diri tradisional dari Suriname?","Karate"
"Apa nama festival yang terkenal di Suriname?","Surifesta"
"Apa nama tarian tradisional dari Suriname?","Tarian Kaseko"
"Apa nama minuman khas dari Suriname?","Dawet"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Prancis?","Paris"
"Apa nama alat musik tradisional dari Prancis?","Akordeon"
"Apa nama seni bela diri tradisional dari Prancis?","Savate"
"Apa nama festival yang terkenal di Prancis?","Festival Cannes"
"Apa nama tarian tradisional dari Prancis?","Tarian Moulin Rouge"
"Apa nama minuman khas dari Prancis?","Anggur"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Jerman?","Berlin"
"Apa nama alat musik tradisional dari Jerman?","Alpenhorn"
"Apa nama seni bela diri tradisional dari Jerman?","Karate"
"Apa nama festival yang terkenal di Jerman?","Oktoberfest"
"Apa nama tarian tradisional dari Jerman?","Schuhplattler"
"Apa nama minuman khas dari Jerman?","Bir"
"Siapa nama penulis novel '1984'?","George Orwell"
"Apa nama ibukota dari negara Inggris?","London"
"Apa nama alat musik tradisional dari Inggris?","Bagpipe"
"Apa nama seni bela diri tradisional dari Inggris?","Karate"
"Apa nama festival yang terkenal di Inggris?","Glastonbury Festival"
"Apa nama tarian tradisional dari Inggris?","Tarian Morris"
"Apa nama minuman khas dari Inggris?","Teh"
"Siapa nama penulis novel 'Pride and Prejudice'?","Jane Austen"
"Apa nama ibukota dari negara Spanyol?","Madrid"
"Apa nama alat musik tradisional dari Spanyol?","Kastanyet"
"Apa nama seni bela diri tradisional dari Spanyol?","Karate"
"Apa nama festival yang terkenal di Spanyol?","La Tomatina"
"Apa nama tarian tradisional dari Spanyol?","Flamenco"
"Apa nama minuman khas dari Spanyol?","Sangria"
"Siapa nama penulis novel 'Don Quixote'?","Miguel de Cervantes"
"Apa nama ibukota dari negara Portugal?","Lisbon"
"Apa nama alat musik tradisional dari Portugal?","Gitarra Portuguesa"
"Apa nama seni bela diri tradisional dari Portugal?","Karate"
"Apa nama festival yang terkenal di Portugal?","Festival Santo António"
"Apa nama tarian tradisional dari Portugal?","Fado"
"Apa nama minuman khas dari Portugal?","Vinho Verde"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Italia?","Roma"
"Apa nama alat musik tradisional dari Italia?","Mandolin"
"Apa nama seni bela diri tradisional dari Italia?","Karate"
"Apa nama festival yang terkenal di Italia?","Festival Film Venesia"
"Apa nama tarian tradisional dari Italia?","Tarantella"
"Apa nama minuman khas dari Italia?","Espresso"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Yunani?","Athena"
"Apa nama alat musik tradisional dari Yunani?","Bouzouki"
"Apa nama seni bela diri tradisional dari Yunani?","Pankration"
"Apa nama festival yang terkenal di Yunani?","Festival Athena dan Epidaurus"
"Apa nama tarian tradisional dari Yunani?","Sirtaki"
"Apa nama minuman khas dari Yunani?","Ouzo"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Belanda?","Amsterdam"
"Apa nama alat musik tradisional dari Belanda?","Akordeon"
"Apa nama seni bela diri tradisional dari Belanda?","Karate"
"Apa nama festival yang terkenal di Belanda?","Hari Raja"
"Apa nama tarian tradisional dari Belanda?","Tarian Rakyat Belanda"
"Apa nama minuman khas dari Belanda?","Gin"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Belgia?","Brussel"
"Apa nama alat musik tradisional dari Belgia?","Akordeon"
"Apa nama seni bela diri tradisional dari Belgia?","Karate"
"Apa nama festival yang terkenal di Belgia?","Festival Brussel"
"Apa nama tarian tradisional dari Belgia?","Tarian Flandria"
"Apa nama minuman khas dari Belgia?","Bir"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Swiss?","Bern"
"Apa nama alat musik tradisional dari Swiss?","Alpenhorn"
"Apa nama seni bela diri tradisional dari Swiss?","Schwingen"
"Apa nama festival yang terkenal di Swiss?","Festival Gurten"
"Apa nama tarian tradisional dari Swiss?","Tarian Rakyat Swiss"
"Apa nama minuman khas dari Swiss?","Absinth"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Austria?","Wina"
"Apa nama alat musik tradisional dari Austria?","Zither"
"Apa nama seni bela diri tradisional dari Austria?","Karate"
"Apa nama festival yang terkenal di Austria?","Festival Film Wina"
"Apa nama tarian tradisional dari Austria?","Waltz"
"Apa nama minuman khas dari Austria?","Wine"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Swedia?","Stockholm"
"Apa nama alat musik tradisional dari Swedia?","Nyckelharpa"
"Apa nama seni bela diri tradisional dari Swedia?","Judo"
"Apa nama festival yang terkenal di Swedia?","Festival Midsummer"
"Apa nama tarian tradisional dari Swedia?","Tarian Rakyat Swedia"
"Apa nama minuman khas dari Swedia?","Vodka"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Norwegia?","Oslo"
"Apa nama alat musik tradisional dari Norwegia?","Hardanger fiddle"
"Apa nama seni bela diri tradisional dari Norwegia?","Judo"
"Apa nama festival yang terkenal di Norwegia?","Festival Musik Oslo"
"Apa nama tarian tradisional dari Norwegia?","Halling"
"Apa nama minuman khas dari Norwegia?","Akvavit"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Finlandia?","Helsinki"
"Apa nama alat musik tradisional dari Finlandia?","Kantele"
"Apa nama seni bela diri tradisional dari Finlandia?","Judo"
"Apa nama festival yang terkenal di Finlandia?","Festival Musik Helsinki"
"Apa nama tarian tradisional dari Finlandia?","Tarian Rakyat Finlandia"
"Apa nama minuman khas dari Finlandia?","Vodka"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Denmark?","Kopenhagen"
"Apa nama alat musik tradisional dari Denmark?","Lira"
"Apa nama seni bela diri tradisional dari Denmark?","Judo"
"Apa nama festival yang terkenal di Denmark?","Festival Roskilde"
"Apa nama tarian tradisional dari Denmark?","Tarian Rakyat Denmark"
"Apa nama minuman khas dari Denmark?","Akvavit"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Islandia?","Reykjavik"
"Apa nama alat musik tradisional dari Islandia?","Langspil"
"Apa nama seni bela diri tradisional dari Islandia?","Judo"
"Apa nama festival yang terkenal di Islandia?","Festival Musik Reykjavik"
"Apa nama tarian tradisional dari Islandia?","Tarian Rakyat Islandia"
"Apa nama minuman khas dari Islandia?","Brennivín"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Irlandia?","Dublin"
"Apa nama alat musik tradisional dari Irlandia?","Harpa Irlandia"
"Apa nama seni bela diri tradisional dari Irlandia?","Judo"
"Apa nama festival yang terkenal di Irlandia?","Hari St. Patrick"
"Apa nama tarian tradisional dari Irlandia?","Tarian Irlandia"
"Apa nama minuman khas dari Irlandia?","Guinness"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Skotlandia?","Edinburgh"
"Apa nama alat musik tradisional dari Skotlandia?","Bagpipe"
"Apa nama seni bela diri tradisional dari Skotlandia?","Judo"
"Apa nama festival yang terkenal di Skotlandia?","Festival Edinburgh"
"Apa nama tarian tradisional dari Skotlandia?","Tarian Ceilidh"
"Apa nama minuman khas dari Skotlandia?","Whisky"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Wales?","Cardiff"
"Apa nama alat musik tradisional dari Wales?","Harpa Wales"
"Apa nama seni bela diri tradisional dari Wales?","Judo"
"Apa nama festival yang terkenal di Wales?","Festival Nasional Wales"
"Apa nama tarian tradisional dari Wales?","Tarian Rakyat Wales"
"Apa nama minuman khas dari Wales?","Beer"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Tiongkok?","Beijing"
"Apa nama alat musik tradisional dari Tiongkok?","Erhu"
"Apa nama seni bela diri tradisional dari Tiongkok?","Kung Fu"
"Apa nama festival yang terkenal di Tiongkok?","Festival Musim Semi"
"Apa nama tarian tradisional dari Tiongkok?","Tarian Naga"
"Apa nama minuman khas dari Tiongkok?","Teh"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Jepang?","Tokyo"
"Apa nama alat musik tradisional dari Jepang?","Shakuhachi"
"Apa nama seni bela diri tradisional dari Jepang?","Judo"
"Apa nama festival yang terkenal di Jepang?","Festival Hanami"
"Apa nama tarian tradisional dari Jepang?","Tarian Kabuki"
"Apa nama minuman khas dari Jepang?","Sake"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Korea Selatan?","Seoul"
"Apa nama alat musik tradisional dari Korea Selatan?","Gayageum"
"Apa nama seni bela diri tradisional dari Korea Selatan?","Taekwondo"
"Apa nama festival yang terkenal di Korea Selatan?","Festival Lampion"
"Apa nama tarian tradisional dari Korea Selatan?","Tarian Kipas"
"Apa nama minuman khas dari Korea Selatan?","Soju"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Korea Utara?","Pyongyang"
"Apa nama alat musik tradisional dari Korea Utara?","Janggu"
"Apa nama seni bela diri tradisional dari Korea Utara?","Taekwondo"
"Apa nama festival yang terkenal di Korea Utara?","Festival Arirang"
"Apa nama tarian tradisional dari Korea Utara?","Tarian Rakyat Korea Utara"
"Apa nama minuman khas dari Korea Utara?","Soju"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Mongolia?","Ulaanbaatar"
"Apa nama alat musik tradisional dari Mongolia?","Morin Khuur"
"Apa nama seni bela diri tradisional dari Mongolia?","Gulat Mongolia"
"Apa nama festival yang terkenal di Mongolia?","Festival Naadam"
"Apa nama tarian tradisional dari Mongolia?","Tarian Bii"
"Apa nama minuman khas dari Mongolia?","Airag"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Kazakhstan?","Astana"
"Apa nama alat musik tradisional dari Kazakhstan?","Dombyra"
"Apa nama seni bela diri tradisional dari Kazakhstan?","Gulat Kazakhstan"
"Apa nama festival yang terkenal di Kazakhstan?","Festival Nasional Kazakhstan"
"Apa nama tarian tradisional dari Kazakhstan?","Tarian Rakyat Kazakhstan"
"Apa nama minuman khas dari Kazakhstan?","Kumys"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Uzbekistan?","Tashkent"
"Apa nama alat musik tradisional dari Uzbekistan?","Dutar"
"Apa nama seni bela diri tradisional dari Uzbekistan?","Gulat Uzbekistan"
"Apa nama festival yang terkenal di Uzbekistan?","Festival Sutra dan Rempah-rempah"
"Apa nama tarian tradisional dari Uzbekistan?","Tarian Rakyat Uzbekistan"
"Apa nama minuman khas dari Uzbekistan?","Teh Hijau"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Kirgizstan?","Bishkek"
"Apa nama alat musik tradisional dari Kirgizstan?","Komuz"
"Apa nama seni bela diri tradisional dari Kirgizstan?","Gulat Kirgizstan"
"Apa nama festival yang terkenal di Kirgizstan?","Festival Rakyat Kirgizstan"
"Apa nama tarian tradisional dari Kirgizstan?","Tarian Rakyat Kirgizstan"
"Apa nama minuman khas dari Kirgizstan?","Kumys"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Tajikistan?","Dushanbe"
"Apa nama alat musik tradisional dari Tajikistan?","Dutar"
"Apa nama seni bela diri tradisional dari Tajikistan?","Gulat Tajikistan"
